kodepoksi	kodeunit	namapoksi	kodeperusahaan	creator	modifier	tgl_creator	tgl_modifier	idUnit
10000	10000	Mengelola dan merumuskan kebijakan Perusahaan secara menyeluruh dan terintegrasi sesuai kebijakan umum yang digariskan Pemerintah cq. Menteri Negara Pendayagunaan BUMN dan Pemegang Saham serta menetapkan kebijakan Perusahaan dan sasaran Rencana Jangka Panjang Perusahaan (RJPP) dan Rencana Kerja & Anggaran Perusahaan (RKAP) serta mengkoordinasikan dan mengintegrasikan fungsi masing-masing Direktur; Deputy Direktur Strategic; Corporate Secretary; Head Of Internal Control; untuk tercapainya misi dan tujuan perusahaan sehingga memperoleh laba dalam arti yang luas	KS	1	1	2013-08-15 03:34:44	2013-09-17 10:14:11	19
12000	12000	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program komunikasi internal maupun eksternal perusahaan, penyimpanan risalah rapat Direksi, pengelolaan dokumen penting perusahaan termasuk Surat Keputusan Direksi, implementasi dan audit GCG dan Risk. Management Perusahaan, penanganan permasalahan hukum dan pertimbangan hukum terhadap aktivitas bisnis perusahaan serta mengintegrasikan fungsi Corporate Communication dan Community Development dalam rangka meningkatkan citra perusahaan untuk mendukung visi dan misi perusahaan	KS	1	1	2013-08-15 03:36:37	2013-09-18 03:47:20	26
12200	12200	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program pengembangan, implementasi strategi komunikasi internal dan external perusahaan meliputi promosi dan penyebaran informasi, pengelolaan web site perusahaan, penciptaan berita dan peristiwa yang bernilai positif bagi perusahaan, pro aktif dalam merespon isu-isu kebijakan public yang mempengaruhi bisnis perusahaan, mengkomunikasikan kebijakan Direksi/Perusahaan, melaksanakan kegiatan protokoler meliputi pengaturan acara termasuk penyiapan fasilitas/akomodasi, pengaturan kegiatan rumah tangga Direksi, mengkomunikasikan kebijakan-kebijakan Direksi/Perusahaan dan bertindak sebagai event organizer kepada pihak internal perusahaan, mewakili Perusahaan/Direksi dan/atau mendampingi Direksi pada acra-acra yang diselenggarakan Instansi/Instusi tertentu	KS	1		2013-08-15 03:37:18		48
12400	12400	Melaksanakan manajemen dalam implementasi GCG dan pengelolaan manajemen risiko PT KS dan Grup, pelaksanaan sosialisasi, evaluasi, monitoring, laporan GCG&Risk Management serta audit bersama SPI 	KS	1	6001	2013-09-02 11:46:37	2013-10-30 10:16:40	49
12500	12500	Mengorganisasikan dan mengkoordinasikan pengkajian dan penelitian kontrak-kontrak kerja, surat-surat Keputusan Direksi dan Peraturan Perusahaan dari aspek hukum, mengurus perijinan, bantuan hukum perusahaan serta bertindak sebagai kuasa hukum perusahaan dalam memproteksi maupun menyelesaikan masalah hukum perusahaan serta menyiapkan legal analisis dan memorandum atas permasalahan hukum yang timbul akibat kontrak kerja, permasalahan hukum ketenagakerjaan, hukum pertanahan dan permasalahan-permasalahan hukum lainnya	KS	1		2013-08-15 03:37:44		50
1250101	12501	Aku sayang kamu	KS	1		2013-10-02 11:27:05		51
13000	13000	Merencanakan, mengorganisasikan, mengkoordinasikan dan mengendalikan aktivitas perumusan sasaran & rencana strategis internal audit, pelaksanaan audit pada seluruh unit bisnis perusahaan, monitoring tindak lanjut hasil audit dari Internal Audit maupun Eksternal Audit, konsultan internal bagi manajemen perusahaan dengan menghasilkan laporan yang memuat rekomendasi atau alternatif solusi mengenai keandalan sistem pengendalian intern, kepatuhan terhadap peraturan dan perundangan yang berlaku dan kecukupan pelaksanaan risk management guna peningkatan efisiensi, efektivitas dan kinerja perusahaan	KS	1		2013-08-15 03:38:04		27
13200	13200	Merencanakan, mengorganisasikan, mengkoordinasikan dan mengendalikan aktivitas pelaksanaan audit pada obyek operasional, strategis dan fraud audit dibidang operasional dan informasi teknologi serta proyek, mengevaluasi dan menetapkan status tindak lanjut rekomendasi, konsultan internal bagi manajemen perusahaan, dengan menghasilkan laporan hasil audit yang memuat rekomendasi atau alternatif solusi mengenai keandalan sistem pengendalian intern, kepatuhan terhadap peraturan dan perundangan yang berlaku serta kecukupan pelaksanaan risk manajemen guna peningkatan efisiensi, efektivitas dan kinerja perusahaan	KS	1		2013-08-15 03:38:28		
13300	13300	Merencanakan, mengorganisasikan, mengkoordinasikan dan mengendalikan aktivitas pelaksanaan audit pada obyek operasional, strategis dan fraud audit di bidang komersial (pemasaran, logistik, keuangan dan HRD), mengevaluasi dan menetapkan status tindak lanjut rekomendasi, konsultan internal bagi manajemen perusahaan, dengan menghasilkan laporan hasil audit yang memuat rekomendasi atau alternatif solusi mengenai keandalan sistem pengendalian intern, kepatuhan terhadap peraturan dan perundangan yang berlaku serta kecukupan pelaksanaan risk manajemen guna peningkatan efisiensi, efektivitas dan kinerja perusahaan	KS	1		2013-08-15 03:39:01		
20000	20000	Merencanakan, merumuskan, mengendalikan dan mengembangkan kebijakan-kebijakan dan strategi pengelolaan logistik perusahaan yang meliputi perencanaan pengadaan bahan baku dan material atau barang-barang penunjang lainnya sehingga pengadaan barang untuk menunjang terselenggaranya operasional bisnis perusahaan berjalan efektif dan efisien	KS	1		2013-08-15 03:39:23		20
22000	22000	Mengendalikan perencanaan dan penyusunan strategi pembelian barang maupun pengadaan jasa, sourcing management, pengelolaan katalogisasi barang maupun jasa, evaluasi perkiraan harga, clearance barang impor, manajemen vendor, penanganan klaim pembelian barang apabila terjadi penyimpangan dan manajemen pergudangan untuk memastikan perencanaan dan pengendalian pembelian barang maupun pengadaan jasa tepat kualitas, kuantitas, spesifikasi, harga maupun waktu sesuai kebutuhan perusahaan serta kegiatan pengendalian, penyimpanan dan pelayanan barang di gudang dapat dikelola dengan baik	KS	1		2013-08-15 03:40:03		28
22200	22200	Mengorganisasikan dan mengkoordinasikan kegiatan evaluasi dan penyusunan Harga Perkiraan Sendiri/Owner Estimate (HPS/OE) untuk pembelian barang dan penyusunan harga satuan pekerjaan jasa untuk perencanaan pengadaan jasa, evaluasi dan penyusunan katalogisasi spesifikasi barang baik suku cadang, bahan baku maupun bahan pembantu produksi dan barang umum lainnya serta evaluasi dan penyusunan Services Master Catalog, memastikan dan memutahirkan data-data tersebut diatas serta kegiatan sourcing dengan baik	KS	1		2013-08-15 03:40:36		55
22300	22300	Mengorganisasikan dan mengkoordinasikan kegiatan perencanaan pembelian bahan baku dan bahan pembantu produksi, material umum lainnya, perencanaan pengadaan seluruh pekerjaan jasa yang ada di perusahaan kecuali pekerjaan jasa perawatan pabrik dan jasa pembangunan, untuk menjamin akurasi dan optimasi perencanaan pengadaan barang maupun jasa	KS	1		2013-08-15 03:41:05		54
22400	22400	Mengorganisasikan dan mengkoordinasikan kegiatan penerimaan, pemeriksaan, penyimpanan, pemeliharaan, distribusi dan pengendalian stok suku cadang dan non suku cadang, pengelolaan barang limbah, guna menjamin pengelolaan barang di gudang efisien dan efektif	KS	1		2013-08-15 03:41:40		53
22500	22500	Mengorganisasikan dan mengkoordinasikan serta menyelenggarakan kegiatan vendor manajemen yang meliputi registrasi, assessment dan evaluasi vendor, pelaksanaan penerbitan service entry dan Service Acceptance atas pekerjaan jasa non pembangunan; penanganan klaim terhadap vendor atas pembelian barang dan jasa ; pengurus barang impor, akseptasi dan penjadwalan kapal; serta memastikan dan memutahirkan master data vendor, agar pengadaan barang dan jasa non pembangunan berjalan secara efektif dan efesien	KS	1		2013-08-15 03:42:02		52
23000	23000	Mengendalikan proses dan menentukan strategi pembelian barang maupun pengadaan jasa guna memastikan proses pengadaan barang maupun jasa berjalan secara efektif dan efisien dan sesuai prosedur yang telah ditetapkan, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu	KS	1		2013-08-15 03:42:26		29
23200	23200	Mengorganisasikan dan mengkoordinasikan proses pembelian suku cadang baik suku cadang mekanik, listrik maupun suku cadang lainnya serta guna menjamin proses pembelian suku cadang berjalan optimal, sesuai prosedur, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu	KS	1		2013-08-15 03:42:46		58
23300	23300	Mengorganisasikan dan mengkoordinasikan proses pembelian bahan baku, bahan pembantu produksi dan barang atau material  umum lainnya guna menjamin proses pembelian non suku cadang berjalan optimal, sesuai prosedur, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu	KS	1	4645	2013-08-15 03:43:11	2013-11-22 04:04:58	57
23400	23400	Mengorganisasikan dan mengkoordinasikan kegiatan pengadaan jasa perawatan pabrik, jasa perawatan sipil mupun umum dan jasa non perawatan, serta guna memastikan pelaksanaan pengadaan jasa berjalan optimal, sesuai prosedur, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu	KS	1		2013-08-15 03:43:33		56
30000	30000	Memastikan perusahaan menyediakan produk baja bermutu sesuai kebutuhan konsumen maupun pasar, tepat waktu dengan harga yang kompetitif melalui proses pengendalian kehandalan fasilitas produksi, efisiensi proses produksi, ketepatan penjaminan kualitas dan ketepatan kegiatan riset dan pengembangan proses maupun produk	KS	1		2013-08-15 03:43:55		21
30200	30200	Mengorganisasikan dan mengkoordinasikan aktivitas peningkatan kualitas lingkungan industri PT Krakatau Steel, penurunan tingkat terjadinya kecelakaan kerja, penanganan bencana, penanganan pemadam kebakaran dan penelitian dampak lingkungan operasi pabrik, sebagai regulator untuk limbah, serta mengembangkan sistem manajemen mutu lingkungan industri dan lingkungan kerja untuk menjamin seluruh aspek Keselamatan Kerja dan Lingkungan Hidup sesuai standar yang ditetapkan	KS	1		2013-08-15 03:44:13		59
32000	32000	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan penjaminan dan pengendalian kualitas proses dan produk serta kegiatan pengembangan, pengkajian proses pembuatan produk baja, produk aplikasi baru, material untuk proses pembuatan baja; penanganan terhadap klaim & complain dari pelanggan untuk mendukung operasional dan peningkatan kualitas proses dan produk sesuai rencana tahunan dan rencana jangka panjang perusahaan	KS	1		2013-08-15 03:44:38		30
32200	32200	Mengorganisasikan dan mengkoordinasikan kegiatan pengelolaan, pemeliharaan,  peningkatan dan pengendalian dokumen   Sistem Manajemen Krakatau Steel secara terpadu, serta pengurusan administrasi HaKI untuk menjamin mutu produk, proses dan kepuasan pelanggan	KS	1		2013-08-15 03:45:15		60
32300	32300	Mengorganisasikan dan mengkoordinasikan perbaikan/ improvement proses dan material, inovasi dan development material, peningkatan kualitas rancangan dan riset, pengembangan produk yang bernilai tambah tinggi, penyiapan materi informasi teknis produk PTKS, serta memastikan dan memutahirkan master data semifinished products dan finished product  sebagai wahana promosi menunjang pemasaran produk regular maupun aplikasi baru	KS	1		2013-08-15 03:45:38		61
32400	32400	Mengorganisasikan dan mengkoordinasikan kegiatan pengendalian kualitas  proses dan produk jadi sesuai standar, delivery inspection, melakukan pengujian laboratorium mekanik dan kimia, serta memastikan dan memutahirkan master data defect catalogue, selected set untuk menjamin kesesuaian kualitas produksi yang dihasilkan hingga dapat menurunkan jumlah claim teknis dalam meningkatkan kepuasan pelanggan	KS	1		2013-08-15 03:45:46		62
32500	32500	Mengorganisasikan dan mengkoordinasikan kegiatan pelayanan technical support produk Krakatau Steel kepada sales dan pelanggan, pelayanan klaim dan komplain terhadap mutu produk dan mutu pelayanan (non teknis) serta merencanakan pelaksanaan kunjungan kepada pelanggan	KS	1		2013-08-15 03:46:17		63
33000	33000	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan peningkatan efektivitas kinerja pabrik dalam rangka meningkatkan produksi pabrik besi spons, billet baja dan slab baja yang berkualitas berdasarkan rencana produksi serta memelihara seluruh peralatan, instalasi  pabrik dan penunjangnya untuk mencapai target-target yang telah ditetapkan 	KS	1		2013-08-15 03:46:26		31
33200	33200	Merencanakan, mengorganisasikan dan memonitor seluruh proses DR Plant  dari pengolahan bahan baku, bahan pembantu, mesin-mesin produksi, peralatan handling dan teknologi proses, serta mengkoordinasikan dan merencanakan aktivitas perawatan / perbaikan seluruh peralatan mekanik, listrik, instrumen di pabrik Direct Reduction Plant (DR Plant) untuk menghasilkan besi spons  (DRI) sesuai target kualitas dan kuantitas yang ditetapkan dengan biaya yang efisien, tepat waktu serta menjaga seluruh fasilitas produksi DR Plant dalam kondisi optimal	KS	1		2013-08-15 03:46:51		
33400	33400	Mengorganisasikan dan mengkoordinasikan  produksi slab baja meliputi : operasi peleburan, secondary process, pengecoran, refractory pada Pabrik Slab Baja I, meminimasi biaya produksi dengan cara meningkatkan yield, efisiensi pemakaian Listrik, Electroda dan Refractory untuk mencapai target produksi yang telah ditetapkan	KS	1		2013-08-15 03:47:18		
33500	33500	Mengorganisasikan dan mengkoordinasikan produksi slab baja meliputi : operasi peleburan, secondary process, pengecoran, refractory, meminimasi biaya produksi slab baja dengan cara meningkatkan yield, efisiensi pemakaian Listrik, Electroda dan Refractory untuk mencapai target produksi yang telah ditetapkan	KS	1	7445A	2013-08-15 03:47:51	2013-10-18 08:19:58	67
33600	33600	Mengorganisasikan dan mengkoordinasikan aktivitas perawatan, perbaikan dan peningkatkan kesiapan mesin-mesin/peralatan pabrik pada seluruh peralatan mekanik, listrik, instrumen, komputer Pabrik Slab Baja dan Pabrik Billet Baja sesuai kualitas dan sistem manajemen perawatan untuk mendukung pencapaian target produksi	KS	1		2013-08-15 03:48:21		66
33700	33700	Mengorganisasikan dan mengkoordinasikan  produksi billet baja meliputi : operasi peleburan, pengolahan, pengecoran, refractory pada Pabrik Billet Baja, meminimasi biaya produksi dengan cara meningkatkan yield, efisiensi pemakaian Listrik, Electroda dan Refractory untuk mencapai target produksi yang telah ditetapkan	KS	1		2013-08-15 03:48:46		65
3370101	33701	Merencanakan, mengorganisasikan dan memonitor seluruh proses DR Plant dari pengelolaan bahan baku, bahan pembantu, mesi-mesin produksi, peralatan handling dan teknologi proses, serta mengorganisasikan dan merencanakan aktifitas perawatan/perbaikan seluruh peralatan mekanik, listrik, instrument di pabrik Direct Reduction Plant (DR Plant) sesuai target kualitas dan kuantitas yang ditetapkan dengan biaya yang efisien, tepat waktu serta menjaga seluruh fasilitas produksi DR Plant dalam kondidi optimal.	KS	1	7990	2013-09-30 11:30:38	2013-10-01 05:02:12	64
34000	34000	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan peningkatan efektivitas kinerja pabrik dalam rangka meningkatkan produksi pabrik baja lembaran panas, pabrik baja lembaran dingin, pabrik batang kawat yang berkualitas berdasarkan rencana produksi serta memelihara seluruh peralatan, instalasi  pabrik dan penunjangnya untuk mencapai target yang telah ditetapkan	KS	1		2013-08-15 04:13:33		32
34200	34200	Mengorganisasikan dan mengkoordinasikan  kegiatan produksi Baja Lembaran Panas yang meliputi : operasi pengerolan, operasi pemotongan baja lembaran, peningkatan Yield Produksi, peningkatan kualitas produk, peningkatan kemampuan pabrik dalam berproduksi, peningkatan kualitas proses produksi guna meningkatkan hasil produksi sesuai order untuk mencapai target produksi yang telah ditetapkan	KS	1		2013-08-15 05:06:56		68
34300	34300	Mengorganisasikan dan mengkoordinasikan aktivitas perawatan, perbaikan dan peningkatkan kesiapan mesin-mesin/peralatan pabrik pada seluruh peralatan mekanik, listrik, instrumen, komputer Pabrik Pengerolan Baja Lembaran Panas Dan Batang Kawat sesuai kualitas dan sistem manajemen perawatan untuk mendukung pencapaian target produksi.	KS	1		2013-08-15 05:07:22		69
34500	34500	Mengorganisasikan dan mengkoordinasikan aktivitas perawatan, perbaikan dan peningkatkan kesiapan mesin-mesin/peralatan pabrik pada seluruh peralatan mekanik, listrik, instrumen, komputer Pabrik Pengerolan Baja Lembaran Dingin sesuai kualitas dan sistem manajemen perawatan untuk mendukung pencapaian target produksi	KS	1		2013-08-15 06:26:38		70
34600	34600	Mengorganisasikan dan mengkoordinasikan  kegiatan produksi Batang Kawat meliputi : peningkatan Yield Produksi, peningkatan kualitas produk Batang Kawat, peningkatan kemampuan pabrik dalam berproduksi, peningkatan kualitas proses produksi guna meningkatkan hasil produksi sesuai order untuk mencapai target produksi yang telah ditetapkan	KS	1		2013-08-15 06:27:07		71
34601	34601	Mengorganisasikan dan mengkoordinasikan  kegiatan  produksi Baja Lembaran Dingin meliputi : peningkatan Yield Produksi, peningkatan kualitas produk Baja Lembaran Dingin, peningkatan kemampuan pabrik dalam berproduksi, peningkatan kualitas proses produksi guna meningkatkan hasil produksi sesuai order untuk mencapai target produksi yang telah ditetapkan	KS	1	1	2013-08-15 05:08:50	2013-10-11 08:35:47	72
35000	35000	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi perawatan dan energi, kebijakan kesiapan mesin-mesin / peralatan pabrik, pengelolaan catalog dan history harga suku cadang dan jasa perawatan pabrik, merencanakan dan mengadakan jasa perawatan perbengkelan dan pabrik, pengembangan dan rekayasa teknik, menjamin ketersediaan supply energi dalam rangka mendukung kelancaran produksi dan pencapaian target produksi	KS	1		2013-08-15 06:27:56		33
35200	35200	Mengorganisasikan dan mengkoordinasikan aktivitas utilisasi bengkel mekanik meliputi : perbaikan peralatan pabrik, pembuatan suku cadang untuk perbaikan, pembuatan suku cadang dan perbaikan yang ditangani pihak luar melalui kontrak jasa serta perawatan lapangan beserta mengelola jasa perawatan lapangan dari pihak luar melalui kontrak berdasarkan permintaan dari unit-unit produksi, untuk menjamin kehandalan dan kelancaran operasi pabrik	KS	1		2013-08-15 06:28:23		76
35300	35300	Mengorganisasikan dan mengkoordinasikan aktivitas rekayasa teknik yang meliputi : mengelola dokumen teknik, gambar/design engineering, estimate engineering, scope of work, TOR dan bestek, analisis engineering, modifikasi engineering baik perawatan dan pembangunan rutin serta inspeksi teknik untuk memastikan dan memutahirkan data engineering guna peningkatan kehandalan peralatan pabrik	KS	1		2013-08-15 06:28:55		75
35400	35400	Mengorganisasikan dan mengkoordinasikan aktivitas peningkatan utilisasi bengkel   listrik, elektronik, instrument, sarana dan prasarana pabrik (general service), dengan cara  mempercepat waktu penyelesaian pekerjaaan dan efektifitas pelaksanaan pekerjaan, pengendalian operasional supply Energi Listrik, Air dan Gas dalam rangka mendukung kelancaran produksi, pengelolaan produksi kapur bakar dan gas industri untuk menunjang kelancaran operasi pabrik	KS	1		2013-08-15 06:29:17		74
35500	35500	Mengorganisasikan dan mengkoordinasikan aktivitas  perencanaan suku cadang rutin dan common, menyusun catalog dan estimasi harga (HPS/OE) Spare Part dan jasa perawatan, perencanaan jasa perawatan pabrik, menyusun dan mengelola katalog suku cadang dan historical harga suku cadang dan jasa perawatan pabrik serta membuat laporan kinerja perawatan & suku cadang perawatan pabrik untuk menunjang kelancaran operasi seluruh pabrik	KS	1		2013-08-15 06:29:47		73
36000	36000	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program perencanaan produksi sesuai delivery order dan optimasi kapasitas produksi, pengendalian tingkat persediaan produk jadi pada level yang optimum,  pengelolaan dan optimasi kebutuhan dan penanganan material produksi (bahan baku dan penunjang utama) untuk menunjang kelancaran dan tercapainya target produksi serta supply chain management	KS	1		2013-08-15 06:30:14		34
36200	36200	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program serta kegiatan improvement Supply Chain; mengintegrasikan operasional proses bisnis meliputi material, informasi, time frame dan menyusun/mengevaluasi FS (Feasibility Study) serta melakukan evaluasi efektivitas investasi terhadap parameter utama pada sektor pemasaran, logistik dan produksi sebagai bahan evaluasi management serta melakukan usaha peningkatan produktivitas, efisiensi, efektivitas dan optimalisasi dalam kegiatan operasional di setiap lini rantai supply dan memastikan pemutakhiran data product groups, Bill of Material (BOM) dan  Routing agar selalu update dan sesuai dengan kondisi actual	KS	1		2013-08-15 06:30:36		77
36300	36300	Mengorganisasikan dan mengkoordinasikan aktivitas perencanaan dan pengendalian Produksi sesuai dengan Delivery Order, utilisasi ready stock ke order serta  penyiapan, prosesing, distribusi & penyimpanan bahan baku dan bahan pembantu utama (Non Spons, Batu Kapur) sesuai dengan kebutuhan produksi pada pabrik besi spons dan baja batangan, pabrik slab baja, pabrik baja lembaran, untuk mencapai target produksi yang ditetapkan dengan pembebanan pabrik secara optimum	KS	1		2013-08-15 06:31:02		78
40000	40000	Memastikan perusahaan memiliki strategi, kebijakan dan manajemen yang handal dan adaptif terhadap tuntutan perkembangan pasar dan konsumen maupun kelancaran operasional bisnis melalui pengelolaan kebijakan strategi pemasaran produk, by product dan jasa non core Krakatau Steel di pasar dalam negeri maupun luar negeri guna mengoptimalkan utilisasi kapasitas produksi dan menghasilkan profit maksimal sesuai policy pemasaran yang ditetapkan perusahaan	KS	1		2013-08-15 06:31:35		22
42000	42000	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program penjualan Flat product dan long product untuk area pasar Domestik dan Ekspor dengan segmen pasar strategic account yang mayoritas kebutuhan konsumennya adalah produk HRC/Plate, dan penjualan produk untuk industri Shipbuilding, Train, serta penjualan untuk Project dan pengembangan pasar domestik wilayah Indonesia Timur melalui kantor cabang Surabaya, wilayah Indonesia Barat melalui perwakilan Batam serta penjualan by product untuk tujuan ekspor guna menjamin tercapainya target penjualan dan peningkatan loyalitas  pelanggan serta  memastikan penjualan produk dan utilisasi fasiltas produksi HRC/P mencapai target yang ditetapkan	KS	1		2013-08-15 06:31:44		35
42200	42200	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk segmen pasar strategic account yang mayoritas kebutuhan konsumennya produk HRC/P (Hot Rolled Coil/ Plate) meliputi : segmen pasar Oil & Gas Pipe (OGP), P&T Commercial, BPV dan Rerolling serta segmen lainnya guna menjamin tercapainya target penjualan dan loyalitas pelanggan yang ditetapkan	KS	1		2013-08-15 06:32:24		82
42300	42300	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk segmen pasar yang mayoritas kebutuhannya HRC/P meliputi General Structure, Ship Building, Train, Coil Center dan Stockist	KS	1	11795	2013-08-15 06:32:45	2013-11-07 04:41:55	81
43000	43000	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk tujuan ekspor dan indirect ekspor, penjualan dan pengembangan pasar wilayah Indonesia Timur melalui Kantor Cabang Surabaya dan Indonesia Barat melalui perwakilan Batam, segmen pasar Project Engineering Procurement Construction (EPC) Non Pipe serta penjualan by product untuk tujuan ekspor guna menjamin tercapainya target penjualan dan loyalitas pelanggan yang telah ditetapkan	KS	1		2013-08-15 06:33:23		44
43200	43200	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program penjualan Flat product dan long product untuk area pasar Domestik segmen pasar strategic account yang mayoritas kebutuhan konsumennya adalah produk CRC/S dan long product (Wire Rod dan Billet), semua produk untuk segmen Automotive & Heavy Equipment serta penjualan By Product & Industrial Service domestik guna menjamin tercapainya target penjualan dan peningkatan loyalitas pelanggan serta memastikan penjualan produk dan utilisasi fasiltas produksi CRC/S, Wire Rod dan Billet mencapai target yang ditetapkan	KS	1		2013-08-15 06:33:47		
43300	43300	Mengorganisasikan dan mengkoordinasikan penyusunan Sales Plan, target penjualan, pelaksanaan aktivitas penjualan flat product & long product untuk segmen pasar strategic account yang mayoritas kebutuhan konsumennya produk CRC/S (Cold Rolled Coil/Sheet) yang meliputi segmen pasar GIS (Galvalum & galvanized), HOA, HOE, HOF, Enamel, P&T, Drum & packaging serta stockist dan segmen lainnya serta segmen Automotive & Heavy Equipment guna menjamin tercapainya target penjualan dan loyalitas pelanggan yang ditetapkan	KS	1	10731	2013-08-15 06:34:08	2013-11-07 04:42:53	80
4330101	43301	Optimalisasi volume & revenue penjualan wire rod, by product & jasa non core sesuai target yang ditetapkan	KS	1	11443A	2013-10-23 10:15:20	2013-11-07 04:41:50	79
